address	balance
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo	25259723616182
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97	16800998578115
1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ	12787354435778
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb	11660113665929
bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt	9464330452358
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs	9450534198112
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6	8152100005627
1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF	7995721801926
bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6	6937017661274
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr	5730000013950
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS	5687725215046
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j	5512437140600
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67	5406697855926
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC	5388006215170
1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA	5183039665090
3CkUo2ChW6ALJUrU2ugZPJMtisKMJKwz5M	5062022055138
bc1qmxjefnuy06v345v6vhwpwt05dztztmx4g3y7wp	4982572376345
1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os	4400008630477
3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE	4054754989057
3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a	3792697748910
bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug	3600041351840
3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh	3501662242882
bc1q5pucatprjrqltdp58f92mhqkfuvwpa43vhsjwpxlryude0plzyhqjkqazp	3377594781500
12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx	3232099998610
bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4	3164338219915
3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B	3127534585966
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr	3100007063388
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP	2900185934241
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv	2815105859625
bc1qjysjfd9t9aspttpjqzv68k0ydpe7pvyd5vlyn37868473lell5tqkz456m	2789186168871
159QgP4Ewvadjc4HDpaaR6pir2R4ZfzVfQ	2591500017745
17MWdxfjPYP2PYhdy885QtihfbW181r1rn	2449535042970
1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2	2418051758452
19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C	2396900154245
1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT	2289999043553
1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8	2240000017757
3HSMPBUuAPQf6CU5B3qa6fALrrZXswHaF1	2227001289357
bc1q4jchcr7nla277su5lpjzttxp3xg5j8wds5lcwg	2189076483905
3GoyTuGqJUC6PhLx2PzVXcz86rjsAMBtoS	2174400000000
bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9	2103044297826
19r6sRMjuF5YnMPkohcD1fES8CdGGcpa9F	2025671271755
bc1qtw30nantkrh7y5ue73gm4mmy0zezfqxug3psr94sd967qwg7f76scfmr9p	2013623538292
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn	2000800193250
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW	1941443070193
3K5dmrkBMS8ZVgERMLwiw7PJuG8GWTbo8e	1860004803628
3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh	1830320895572
bc1q080rkmk3kj86pxvf5nkxecdrw6nrx3zzy9xl7q	1697822660425
bc1q6pqn309cee3zchs9tn5gs5ft3mjkzmyf4grea0mmyhu9qvnn76tsdy52wc	1691395935081
3H5JTt42K7RmZtromfTSefcMEFMMe18pMD	1678594812815
34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP	1630654651480
39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN	1620529963146
36vKoj27GiiuoKxuEmyaZwrJp3XTgGxj7Z	1589199996363
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG	1574555600702
1FZy7CPFA2UqqQJYUA1cG9KvdDFbSMBJYG	1566871275000
15pqaBHFwFEphRqmXAPbs3QRLLPB7e2uMb	1564044897434
1KUr81aewyTFUfnq4ZrpePZqXixd59ToNn	1499999914099
3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJ	1477012560373
bc1qqn4q5yv7feltnsfwzxwm3fluryqqzhhp6457h6m4ytq7mauxlxgq872p5f	1462098888700
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9	1451029145122
36rPiyFi4pZmnAyYbDTABqLN3WcWP6yJXS	1450045455109
3CDdsmSRWTJLQzDgrFFDtrapjGt8bwcKbH	1435904886651
31k2z8HocUWMCMXBkXREPiXNgK2fB3iLwo	1434240324868
1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYj	1400000070980
3EKWP3ZviLXudcoAfzammYQKwaz2zJKwQW	1309414398596
bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwa	1300302066414
1JehwyndFWmo4Q4DYRoATM32Dq18SpQycB	1269990892847
3LHZNTmeQqzKqqGLXUDxq7uGUX59qDvoEU	1207814850546
3GWUKxq55XsQ7rkzbxAgfSyf6KHp8Ljh3R	1200000086749
bc1q4ph3834lsfcx87k3hh3jmzkrfygthtswtpcjnst4dnjqfjvrsjfqznurmz	1153028488700
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb	1139983292701
bc1qruxnyr3qg4gmfu2zjxj6sjh0ylcx0qxpjrrf0yj6dkye4dqtdrfqm4rk2t	1125750500700
bc1qw0pswznckx7s6tjmd2f5hrx4q6kc5nyrdxku50	1124022416294
1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC	1077053469705
bc1qtq5zfllw9fs9w6stnfgalf9v59fgrcxxyawuvm	1064998648133
bc1qhd0r5kh3u9mhac7de58qd2rdfx4kkv84kpx302	1049999923312
bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40	1029651456082
1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr	1000926280442
bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq	1000174073770
