block_id	hash	time	size	weight	version	lock_time	is_coinbase	has_witness	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee	fee_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total
96315	aa979196eee74873a5b7b7aabf00d7ee97f81cb705b435ec4ba23e499fc242b9	2010-12-08 00:06:29	134	536	1	0	1	0	1	1	0	0	5000000000	11	0	0	0	0	0	0	0
96315	d3c3fcad5dec00cd4136b7653e67c17cb7a14741d94751437dcc822e46c386d3	2010-12-08 00:06:29	258	1032	1	0	0	0	1	2	5000000000	11	5000000000	11	0	0	0	0	0	0	585.72453703704
96315	f239f1eef3cd7b463d89eaea85c5d4070003da9421add786305c0e44f6d44a05	2010-12-08 00:06:29	257	1028	1	0	0	0	1	2	500000000	1.1	500000000	1.1	0	0	0	0	0	0	0
96315	6a312a8c328815a2761e58fcb4333c65f65ee60b8f5ac429fe518f7f2930d91c	2010-12-08 00:06:29	259	1036	1	0	0	0	1	2	100000000	0.22	100000000	0.22	0	0	0	0	0	0	0
96316	5dc8836d2c82d3db8f5ccc1e938e9fbb1ffde9d9f0cdc8f3962985a981976288	2010-12-08 00:12:35	134	536	1	0	1	0	1	1	0	0	5000000000	11	0	0	0	0	0	0	0
96317	4dbea9df5745e5b736d335ff2955b1b837dcf3cf7be1e858fc8c24da864c59cb	2010-12-08 00:23:04	135	540	1	0	1	0	1	1	0	0	5000000000	11	0	0	0	0	0	0	0
96317	2b40aed99fbe66ab2a3e3218a2ca25e46f40de799a9d1b43ab17fffd240d950b	2010-12-08 00:23:04	259	1036	1	0	0	0	1	2	495000000	1.089	495000000	1.089	0	0	0	0	0	0	0
96318	e81203acb784504847dee0b54a0e8f89f75d69632bd833c4d96551966b919f97	2010-12-08 00:24:47	135	540	1	0	1	0	1	1	0	0	5000000000	11	0	0	0	0	0	0	0
96319	1f6f26b7030bfcbe3356724096e551c06273d5f92d5d4e21ebc032b394aab966	2010-12-08 00:25:26	135	540	1	0	1	0	1	1	0	0	5000000000	11	0	0	0	0	0	0	0
96320	68b08e09446a8858609988dc610fc95383cbe35b26e3737221ce1687e9ec3134	2010-12-08 00:25:55	135	540	1	0	1	0	1	1	0	0	5000000000	11	0	0	0	0	0	0	0
96321	2636c4f2318cdfb62d20fcaa7154ea176484bde5b88d8c028459bd9e356557d5	2010-12-08 00:33:57	134	536	1	0	1	0	1	1	0	0	5000000000	11	0	0	0	0	0	0	0
96321	22a2c0d65ad1dcca82f6f01349e33ec2d790f40a2ca969f950779e97577e7594	2010-12-08 00:33:57	1238	4952	1	0	0	0	7	1	40000000000	88	40000000000	88	0	0	0	0	0	0	44167.414351852
96321	4713361db84bac66a8cd60ec860689403b3e69681e10c275fe003b412ac61b9a	2010-12-08 00:33:57	258	1032	1	0	0	0	1	2	490000000	1.078	490000000	1.078	0	0	0	0	0	0	0
96321	8d789fed3f94057c211280a38f0f8cd9e4d8c05792799a274b3fc7b070284052	2010-12-08 00:33:57	223	892	1	0	0	0	1	1	5000000	0.011	5000000	0.011	0	0	0	0	0	0	0
96322	5d4c380da8fca81eac0a0dc15f87815279e73c175f459e611239fc9ccc3b90a6	2010-12-08 00:47:49	134	536	1	0	1	0	1	1	0	0	5000000000	11	0	0	0	0	0	0	0
96322	a6e39e0cd86a65a218b8743786aee10c8a803a260873f6e77cb492265ea14706	2010-12-08 00:47:49	257	1028	1	0	0	0	1	2	3249000000	7.1478	3249000000	7.1478	0	0	0	0	0	0	0
96322	db6b5172a952d10c2db4757a08b4f09b9b03842e09292299a8bc24f91621e237	2010-12-08 00:47:49	259	1036	1	0	0	0	1	2	485000000	1.067	485000000	1.067	0	0	0	0	0	0	0
