block_id	hash	time	size	weight	version	lock_time	is_coinbase	has_witness	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee	fee_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total
47874	ac244da60222800622a611e93e209185ee3f210d7f997b5744cd386539d43b45	2010-03-30 00:06:07	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
47875	612a84a248d5a542ca98735ad18b28c0736bda05036950c78d83ad24d57cc635	2010-03-30 00:13:35	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
47876	46ae1a3e290802bedaf2120140c1495fc65c2d41bb71c80dd9b30cdc990c29ee	2010-03-30 00:16:15	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
47877	94b1e5c0462f4441360b9db516de4573bcfc683868c3306828e022cedf3e8041	2010-03-30 00:19:27	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
47878	a6d5e41947562635b18c4f4da41776f087c02abe49fefe9161f4ecae98933013	2010-03-30 00:20:03	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
47879	c82ad89a6acb86cafcfdad089be725570806f5b508529185e73938aed4a80af3	2010-03-30 00:31:28	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
47880	dab43955f909bf9b477f9ec0667ccaf81e1c09ca0a3464f0a84b78ce6df2f85c	2010-03-30 00:36:04	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
47881	4f87eb76398db735f0663aca6378aeebfd0210114b378d03e3fa790ddc8ad43f	2010-03-30 00:46:56	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
47882	61688b40cde4e9a6cbf1903aaed001b5b882cfb9a268784ac2c95abd0ec9ff2b	2010-03-30 00:59:00	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
47883	cc5efd25953e567ebbc702ca414dced7a6bd431fbaf5a941b345bdfbeb66cdff	2010-03-30 01:10:23	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
47884	85d760ff7fbbe6f3f4ec69b9a51fafa61f5eca97919791f44fabc6f7de6d7c3d	2010-03-30 01:36:45	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
